,Tumor type,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
GO:0046486,discovery_tumor_THCA,GO:0046486,glycerolipid metabolic process,6/53,390/18870,0.0007582572334796452,0.0106012945284607,0.007755759190506798,APOA4/APOC1/APOC3/GPLD1/LCAT/PON1,6.0,,
GO:0090209,discovery_tumor_THCA,GO:0090209,negative regulation of triglyceride metabolic process,2/53,15/18870,0.0007939190192496473,0.010996149406803525,0.00804462951133435,APOC3/GPLD1,2.0,,
GO:0006956,discovery_tumor_THCA,GO:0006956,complement activation,3/53,67/18870,0.0008827633014400176,0.011984417637144267,0.008767632762453723,CLU/FCN1/FCN2,3.0,,
GO:0070613,discovery_tumor_THCA,GO:0070613,regulation of protein processing,3/53,67/18870,0.0008827633014400176,0.011984417637144267,0.008767632762453723,CLEC3B/CPB2/SERPINF2,3.0,,
GO:0032368,discovery_tumor_THCA,GO:0032368,regulation of lipid transport,4/53,153/18870,0.0008935501423351784,0.011984417637144267,0.008767632762453723,APOA4/APOC1/APOC3/PON1,4.0,,
GO:0002836,discovery_tumor_THCA,GO:0002836,positive regulation of response to tumor cell,2/53,16/18870,0.0009057049766262873,0.011984417637144267,0.008767632762453723,HRG/HSPD1,2.0,,
GO:0002839,discovery_tumor_THCA,GO:0002839,positive regulation of immune response to tumor cell,2/53,16/18870,0.0009057049766262873,0.011984417637144267,0.008767632762453723,HRG/HSPD1,2.0,,
GO:0045807,discovery_tumor_THCA,GO:0045807,positive regulation of endocytosis,4/53,155/18870,0.0009377976480733841,0.012299257649953585,0.008997965323852683,AHSG/CLU/FCN1/FCN2,4.0,,
GO:0002752,discovery_tumor_THCA,GO:0002752,cell surface pattern recognition receptor signaling pathway,3/53,70/18870,0.0010027478320129663,0.013035721816168563,0.009536752234287677,FCN1/FCN2/NAGLU,3.0,,
GO:0008228,discovery_tumor_THCA,GO:0008228,opsonization,2/53,17/18870,0.0010246207918550565,0.013090413909734429,0.009576764206993722,FCN1/FCN2,2.0,,
GO:0060192,discovery_tumor_THCA,GO:0060192,negative regulation of lipase activity,2/53,17/18870,0.0010246207918550565,0.013090413909734429,0.009576764206993722,APOC1/APOC3,2.0,,
GO:1903317,discovery_tumor_THCA,GO:1903317,regulation of protein maturation,3/53,71/18870,0.0010449187074401457,0.013235636960908511,0.009683007365392262,CLEC3B/CPB2/SERPINF2,3.0,,
GO:0006801,discovery_tumor_THCA,GO:0006801,superoxide metabolic process,3/53,72/18870,0.0010881965134445358,0.013552161621216825,0.009914572391400901,APOA4/NAGLU/PON3,3.0,,
GO:0050766,discovery_tumor_THCA,GO:0050766,positive regulation of phagocytosis,3/53,72/18870,0.0010881965134445358,0.013552161621216825,0.009914572391400901,AHSG/FCN1/FCN2,3.0,,
GO:1903532,discovery_tumor_THCA,GO:1903532,positive regulation of secretion by cell,5/53,288/18870,0.001261319811652297,0.015577299673905866,0.011396135140367244,CPB2/F2/GPLD1/PPIA/RBP4,5.0,,
GO:0060191,discovery_tumor_THCA,GO:0060191,regulation of lipase activity,3/53,78/18870,0.001371726827958197,0.016800819496149155,0.012291245174397067,APOA4/APOC1/APOC3,3.0,,
GO:0006650,discovery_tumor_THCA,GO:0006650,glycerophospholipid metabolic process,5/53,298/18870,0.0014665343759338511,0.01769688616755856,0.012946795051200595,APOA4/APOC1/GPLD1/LCAT/PON1,5.0,,
GO:0055088,discovery_tumor_THCA,GO:0055088,lipid homeostasis,4/53,175/18870,0.0014687699045949412,0.01769688616755856,0.012946795051200595,APOA4/APOC3/APOM/LCAT,4.0,,
GO:0010985,discovery_tumor_THCA,GO:0010985,negative regulation of lipoprotein particle clearance,2/53,21/18870,0.001570796825415118,0.01847556266083496,0.013516463911257909,APOC1/APOC3,2.0,,
GO:0030502,discovery_tumor_THCA,GO:0030502,negative regulation of bone mineralization,2/53,21/18870,0.001570796825415118,0.01847556266083496,0.013516463911257909,AHSG/ECM1,2.0,,
GO:2000047,discovery_tumor_THCA,GO:2000047,regulation of cell-cell adhesion mediated by cadherin,2/53,21/18870,0.001570796825415118,0.01847556266083496,0.013516463911257909,PLG/SERPINF2,2.0,,
GO:0061844,discovery_tumor_THCA,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,3/53,83/18870,0.0016404255681198496,0.019142603873650528,0.014004461957425985,F2/HRG/SEMG1,3.0,,
GO:0032024,discovery_tumor_THCA,GO:0032024,positive regulation of insulin secretion,3/53,84/18870,0.001697826153124345,0.01957382677494379,0.014319938616515449,F2/GPLD1/RBP4,3.0,,
GO:0002837,discovery_tumor_THCA,GO:0002837,regulation of immune response to tumor cell,2/53,22/18870,0.0017247739512546267,0.01957382677494379,0.014319938616515449,HRG/HSPD1,2.0,,
GO:0090208,discovery_tumor_THCA,GO:0090208,positive regulation of triglyceride metabolic process,2/53,22/18870,0.0017247739512546267,0.01957382677494379,0.014319938616515449,APOA4/GPLD1,2.0,,
GO:1905952,discovery_tumor_THCA,GO:1905952,regulation of lipid localization,4/53,183/18870,0.0017302100590537355,0.01957382677494379,0.014319938616515449,APOA4/APOC1/APOC3/PON1,4.0,,
GO:0051047,discovery_tumor_THCA,GO:0051047,positive regulation of secretion,5/53,310/18870,0.0017442016438151547,0.019582627546470145,0.014326377138194655,CPB2/F2/GPLD1/PPIA/RBP4,5.0,,
GO:0002834,discovery_tumor_THCA,GO:0002834,regulation of response to tumor cell,2/53,23/18870,0.0018856468410317778,0.020854691182157423,0.015257001148960968,HRG/HSPD1,2.0,,
GO:0051131,discovery_tumor_THCA,GO:0051131,chaperone-mediated protein complex assembly,2/53,23/18870,0.0018856468410317778,0.020854691182157423,0.015257001148960968,CLU/HSPD1,2.0,,
GO:0006109,discovery_tumor_THCA,GO:0006109,regulation of carbohydrate metabolic process,4/53,188/18870,0.0019091137242378856,0.02095538163326832,0.015330664878376567,FBP1/GPLD1/IGFBP3/MST1,4.0,,
GO:0006790,discovery_tumor_THCA,GO:0006790,sulfur compound metabolic process,5/53,317/18870,0.001923030973093449,0.02095538163326832,0.015330664878376567,B4GAT1/BTD/HEXB/HMGCS1/NAGLU,5.0,,
GO:0046890,discovery_tumor_THCA,GO:0046890,regulation of lipid biosynthetic process,4/53,189/18870,0.0019463749136486806,0.021054946146185,0.01540350488711595,APOA4/APOC1/APOC3/GPLD1,4.0,,
GO:0006094,discovery_tumor_THCA,GO:0006094,gluconeogenesis,3/53,90/18870,0.002068680766907461,0.02221583258374534,0.016252793210638328,FBP1/MST1/RBP4,3.0,,
GO:0002220,discovery_tumor_THCA,GO:0002220,innate immune response activating cell surface receptor signaling pathway,3/53,91/18870,0.00213498687115899,0.022762953547177146,0.016653059275227262,FCN1/FCN2/NAGLU,3.0,,
GO:0008202,discovery_tumor_THCA,GO:0008202,steroid metabolic process,5/53,327/18870,0.0022013840028499818,0.022987724575989757,0.016817498624383444,APOA4/APOC1/HMGCS1/LCAT/PON1,5.0,,
GO:0031640,discovery_tumor_THCA,GO:0031640,killing of cells of another organism,3/53,92/18870,0.00220260248973721,0.022987724575989757,0.016817498624383444,F2/HRG/SEMG1,3.0,,
GO:0141061,discovery_tumor_THCA,GO:0141061,disruption of cell in another organism,3/53,92/18870,0.00220260248973721,0.022987724575989757,0.016817498624383444,F2/HRG/SEMG1,3.0,,
GO:0019319,discovery_tumor_THCA,GO:0019319,hexose biosynthetic process,3/53,93/18870,0.0022715366372830525,0.02354137969547891,0.017222544986393407,FBP1/MST1/RBP4,3.0,,
GO:0032967,discovery_tumor_THCA,GO:0032967,positive regulation of collagen biosynthetic process,2/53,26/18870,0.0024092561723174826,0.02462425963706558,0.018014764845640706,F2/SERPINF2,2.0,,
GO:0045717,discovery_tumor_THCA,GO:0045717,negative regulation of fatty acid biosynthetic process,2/53,26/18870,0.0024092561723174826,0.02462425963706558,0.018014764845640706,APOC1/APOC3,2.0,,
GO:0010714,discovery_tumor_THCA,GO:0010714,positive regulation of collagen metabolic process,2/53,27/18870,0.0025973289671143433,0.02636466800865381,0.01928802333185129,F2/SERPINF2,2.0,,
GO:0019216,discovery_tumor_THCA,GO:0019216,regulation of lipid metabolic process,5/53,342/18870,0.0026726770181000844,0.02669614295719581,0.01953052578017735,APOA4/APOC1/APOC3/F2/GPLD1,5.0,,
GO:0141060,discovery_tumor_THCA,GO:0141060,disruption of anatomical structure in another organism,3/53,99/18870,0.0027133227032685725,0.02669614295719581,0.01953052578017735,F2/HRG/SEMG1,3.0,,
GO:0019217,discovery_tumor_THCA,GO:0019217,regulation of fatty acid metabolic process,3/53,100/18870,0.0027917304895451953,0.02669614295719581,0.01953052578017735,APOA4/APOC1/APOC3,3.0,,
GO:0050764,discovery_tumor_THCA,GO:0050764,regulation of phagocytosis,3/53,100/18870,0.0027917304895451953,0.02669614295719581,0.01953052578017735,AHSG/FCN1/FCN2,3.0,,
GO:0001573,discovery_tumor_THCA,GO:0001573,ganglioside metabolic process,2/53,28/18870,0.0027921067195447714,0.02669614295719581,0.01953052578017735,HEXB/NAGLU,2.0,,
GO:0006027,discovery_tumor_THCA,GO:0006027,glycosaminoglycan catabolic process,2/53,28/18870,0.0027921067195447714,0.02669614295719581,0.01953052578017735,HEXB/PGLYRP2,2.0,,
GO:0051873,discovery_tumor_THCA,GO:0051873,killing by host of symbiont cells,2/53,28/18870,0.0027921067195447714,0.02669614295719581,0.01953052578017735,F2/HRG,2.0,,
GO:1902914,discovery_tumor_THCA,GO:1902914,regulation of protein polyubiquitination,2/53,28/18870,0.0027921067195447714,0.02669614295719581,0.01953052578017735,FBXO4/PPIA,2.0,,
GO:1903901,discovery_tumor_THCA,GO:1903901,negative regulation of viral life cycle,2/53,28/18870,0.0027921067195447714,0.02669614295719581,0.01953052578017735,FCN1/PPIA,2.0,,
GO:0045862,discovery_tumor_THCA,GO:0045862,positive regulation of proteolysis,5/53,350/18870,0.0029520881987200997,0.027872127645885588,0.02039085977360761,CLEC3B/CLU/GPLD1/HSPD1/SEMG1,5.0,,
GO:0046364,discovery_tumor_THCA,GO:0046364,monosaccharide biosynthetic process,3/53,102/18870,0.002952715276925801,0.027872127645885588,0.02039085977360761,FBP1/MST1/RBP4,3.0,,
GO:0002418,discovery_tumor_THCA,GO:0002418,immune response to tumor cell,2/53,29/18870,0.0029935517279101676,0.02790216138844571,0.020412832040698263,HRG/HSPD1,2.0,,
GO:0006910,discovery_tumor_THCA,GO:0006910,"phagocytosis, recognition",2/53,29/18870,0.0029935517279101676,0.02790216138844571,0.020412832040698263,FCN1/FCN2,2.0,,
GO:0015914,discovery_tumor_THCA,GO:0015914,phospholipid transport,3/53,103/18870,0.003035308420781894,0.028114544247492292,0.020568208377666784,APOA4/APOC1/APOC3,3.0,,
GO:0010955,discovery_tumor_THCA,GO:0010955,negative regulation of protein processing,2/53,30/18870,0.003201626442454422,0.02875642659222699,0.02103780054690944,CPB2/SERPINF2,2.0,,
GO:0035640,discovery_tumor_THCA,GO:0035640,exploration behavior,2/53,30/18870,0.003201626442454422,0.02875642659222699,0.02103780054690944,CHL1/NAGLU,2.0,,
GO:0070168,discovery_tumor_THCA,GO:0070168,negative regulation of biomineral tissue development,2/53,30/18870,0.003201626442454422,0.02875642659222699,0.02103780054690944,AHSG/ECM1,2.0,,
GO:0070723,discovery_tumor_THCA,GO:0070723,response to cholesterol,2/53,30/18870,0.003201626442454422,0.02875642659222699,0.02103780054690944,F7/GPLD1,2.0,,
GO:1903318,discovery_tumor_THCA,GO:1903318,negative regulation of protein maturation,2/53,30/18870,0.003201626442454422,0.02875642659222699,0.02103780054690944,CPB2/SERPINF2,2.0,,
GO:0002526,discovery_tumor_THCA,GO:0002526,acute inflammatory response,3/53,107/18870,0.0033798698532336827,0.02995826576854194,0.02191704932281994,AHSG/F2/SERPINF2,3.0,,
GO:0006664,discovery_tumor_THCA,GO:0006664,glycolipid metabolic process,3/53,107/18870,0.0033798698532336827,0.02995826576854194,0.02191704932281994,GPLD1/HEXB/NAGLU,3.0,,
GO:0032372,discovery_tumor_THCA,GO:0032372,negative regulation of sterol transport,2/53,31/18870,0.0034162934648337296,0.02995826576854194,0.02191704932281994,APOC1/APOC3,2.0,,
GO:0032375,discovery_tumor_THCA,GO:0032375,negative regulation of cholesterol transport,2/53,31/18870,0.0034162934648337296,0.02995826576854194,0.02191704932281994,APOC1/APOC3,2.0,,
GO:1903509,discovery_tumor_THCA,GO:1903509,liposaccharide metabolic process,3/53,108/18870,0.0034695958741398905,0.030246712267501866,0.022128072757672368,GPLD1/HEXB/NAGLU,3.0,,
GO:0090277,discovery_tumor_THCA,GO:0090277,positive regulation of peptide hormone secretion,3/53,109/18870,0.003560771210852829,0.030860017160724517,0.0225767580620401,F2/GPLD1/RBP4,3.0,,
GO:0042116,discovery_tumor_THCA,GO:0042116,macrophage activation,3/53,110/18870,0.0036534032258903368,0.031478741748659764,0.023029408339455614,CLU/HSPD1/NAGLU,3.0,,
GO:0002833,discovery_tumor_THCA,GO:0002833,positive regulation of response to biotic stimulus,5/53,369/18870,0.0036998832576691184,0.03169495368708458,0.023187585977482154,FCN1/FCN2/HRG/HSPD1/NAGLU,5.0,,
GO:0002793,discovery_tumor_THCA,GO:0002793,positive regulation of peptide secretion,3/53,111/18870,0.003747499189597935,0.03191835516657552,0.02335102338345961,F2/GPLD1/RBP4,3.0,,
GO:0045833,discovery_tumor_THCA,GO:0045833,negative regulation of lipid metabolic process,3/53,112/18870,0.003843066280689918,0.032545281302756905,0.023809673799161598,APOC1/APOC3/GPLD1,3.0,,
GO:0009743,discovery_tumor_THCA,GO:0009743,response to carbohydrate,4/53,230/18870,0.003945552511585006,0.03322334558050556,0.02430573616586457,CPB2/FBP1/GPLD1/NAGLU,4.0,,
GO:0006026,discovery_tumor_THCA,GO:0006026,aminoglycan catabolic process,2/53,34/18870,0.004099476655643498,0.03432443165911675,0.025111275380986047,HEXB/PGLYRP2,2.0,,
GO:0048259,discovery_tumor_THCA,GO:0048259,regulation of receptor-mediated endocytosis,3/53,115/18870,0.004138664742241379,0.034457871617987204,0.025208898193427677,APOC1/APOC3/CLU,3.0,,
GO:0072593,discovery_tumor_THCA,GO:0072593,reactive oxygen species metabolic process,4/53,234/18870,0.004194523165192899,0.034727839836960206,0.02540640317641097,APOA4/F2/NAGLU/PON3,4.0,,
GO:0002221,discovery_tumor_THCA,GO:0002221,pattern recognition receptor signaling pathway,4/53,236/18870,0.00432291130185768,0.03553641076643432,0.025997942388967507,FCN1/FCN2/HSPD1/NAGLU,4.0,,
GO:0036314,discovery_tumor_THCA,GO:0036314,response to sterol,2/53,35/18870,0.004340141935711615,0.03553641076643432,0.025997942388967507,F7/GPLD1,2.0,,
GO:0007617,discovery_tumor_THCA,GO:0007617,mating behavior,2/53,36/18870,0.004587214784644248,0.0373530346749603,0.027326959098806104,HEXB/SEMG1,2.0,,
GO:0002697,discovery_tumor_THCA,GO:0002697,regulation of immune effector process,5/53,389/18870,0.0046252277220908645,0.03745676220840799,0.02740284471529244,FCN1/FCN2/HSPD1/PGLYRP2/RBP4,5.0,,
GO:0048261,discovery_tumor_THCA,GO:0048261,negative regulation of receptor-mediated endocytosis,2/53,37/18870,0.00484065870153326,0.03898834888952332,0.028523332165785224,APOC1/APOC3,2.0,,
GO:0030282,discovery_tumor_THCA,GO:0030282,bone mineralization,3/53,123/18870,0.004993361684976439,0.04000087576829775,0.029264082705694066,AHSG/CLEC3B/ECM1,3.0,,
GO:0045926,discovery_tumor_THCA,GO:0045926,negative regulation of growth,4/53,247/18870,0.005076826592030685,0.04020663897782207,0.029414616199415256,CDHR2/FBP1/HRG/RBP4,4.0,,
GO:0032965,discovery_tumor_THCA,GO:0032965,regulation of collagen biosynthetic process,2/53,38/18870,0.005100437333218994,0.04020663897782207,0.029414616199415256,F2/SERPINF2,2.0,,
GO:0044273,discovery_tumor_THCA,GO:0044273,sulfur compound catabolic process,2/53,38/18870,0.005100437333218994,0.04020663897782207,0.029414616199415256,HEXB/NAGLU,2.0,,
GO:0009595,discovery_tumor_THCA,GO:0009595,detection of biotic stimulus,2/53,40/18870,0.005638854063986025,0.043983061699091,0.03217739438174851,CDHR2/PGLYRP2,2.0,,
GO:0030279,discovery_tumor_THCA,GO:0030279,negative regulation of ossification,2/53,40/18870,0.005638854063986025,0.043983061699091,0.03217739438174851,AHSG/ECM1,2.0,,
GO:0002758,discovery_tumor_THCA,GO:0002758,innate immune response-activating signaling pathway,4/53,255/18870,0.005677552404050611,0.044053050590591655,0.03222859727843555,FCN1/FCN2/HSPD1/NAGLU,4.0,,
GO:0009636,discovery_tumor_THCA,GO:0009636,response to toxic substance,4/53,258/18870,0.005914570403926671,0.045653090305308994,0.033399164013401705,APOA4/APOM/PON1/PON3,4.0,,
GO:0001558,discovery_tumor_THCA,GO:0001558,regulation of cell growth,5/53,417/18870,0.006183671753345504,0.046896053280613005,0.034308498386981606,CDHR2/F2/FBP1/HRG/IGFBP3,5.0,,
GO:0019730,discovery_tumor_THCA,GO:0019730,antimicrobial humoral response,3/53,133/18870,0.006201573642073011,0.046896053280613005,0.034308498386981606,F2/HRG/SEMG1,3.0,,
GO:0030168,discovery_tumor_THCA,GO:0030168,platelet activation,3/53,133/18870,0.006201573642073011,0.046896053280613005,0.034308498386981606,F2/HRG/PPIA,3.0,,
GO:0045922,discovery_tumor_THCA,GO:0045922,negative regulation of fatty acid metabolic process,2/53,42/18870,0.006202177087044635,0.046896053280613005,0.034308498386981606,APOC1/APOC3,2.0,,
GO:0010712,discovery_tumor_THCA,GO:0010712,regulation of collagen metabolic process,2/53,43/18870,0.00649308913043976,0.04811379045655862,0.03519937791764713,F2/SERPINF2,2.0,,
GO:0019098,discovery_tumor_THCA,GO:0019098,reproductive behavior,2/53,43/18870,0.00649308913043976,0.04811379045655862,0.03519937791764713,HEXB/SEMG1,2.0,,
GO:0055090,discovery_tumor_THCA,GO:0055090,acylglycerol homeostasis,2/53,43/18870,0.00649308913043976,0.04811379045655862,0.03519937791764713,APOA4/APOC3,2.0,,
GO:0070328,discovery_tumor_THCA,GO:0070328,triglyceride homeostasis,2/53,43/18870,0.00649308913043976,0.04811379045655862,0.03519937791764713,APOA4/APOC3,2.0,,
GO:0050708,discovery_tumor_THCA,GO:0050708,regulation of protein secretion,4/53,266/18870,0.006578756352180097,0.04850605429816371,0.035486352672141924,F2/GPLD1/PPIA/RBP4,4.0,,
hsa03050,discovery_tumor_others,hsa03050,Proteasome,2/3,46/8843,7.915860535487276e-05,0.0014248548963877096,0.00016664969548394265,PSMA7/PSMB1,2.0,Genetic Information Processing,"Folding, sorting and degradation"
hsa05017,discovery_tumor_others,hsa05017,Spinocerebellar ataxia,2/3,144/8843,0.000781617515289197,0.007034557637602773,0.0008227552792517863,PSMA7/PSMB1,2.0,Human Diseases,Neurodegenerative disease
hsa05012,discovery_tumor_others,hsa05012,Parkinson disease,2/3,271/8843,0.0027504531390350373,0.013006386460001509,0.0015212147906434512,PSMA7/PSMB1,2.0,Human Diseases,Neurodegenerative disease
hsa05020,discovery_tumor_others,hsa05020,Prion disease,2/3,278/8843,0.0028930884472539195,0.013006386460001509,0.0015212147906434512,PSMA7/PSMB1,2.0,Human Diseases,Neurodegenerative disease
hsa05016,discovery_tumor_others,hsa05016,Huntington disease,2/3,311/8843,0.003612885127778197,0.013006386460001509,0.0015212147906434512,PSMA7/PSMB1,2.0,Human Diseases,Neurodegenerative disease
hsa05014,discovery_tumor_others,hsa05014,Amyotrophic lateral sclerosis,2/3,371/8843,0.005120250908131772,0.01460350822224837,0.0017080126575729087,PSMA7/PSMB1,2.0,Human Diseases,Neurodegenerative disease
hsa05010,discovery_tumor_others,hsa05010,Alzheimer disease,2/3,391/8843,0.005679142086429921,0.01460350822224837,0.0017080126575729087,PSMA7/PSMB1,2.0,Human Diseases,Neurodegenerative disease
hsa05022,discovery_tumor_others,hsa05022,Pathways of neurodegeneration - multiple diseases,2/3,483/8843,0.008608361235886377,0.019368812780744347,0.002265358219970099,PSMA7/PSMB1,2.0,Human Diseases,Neurodegenerative disease
hsa05219,discovery_tumor_others,hsa05219,Bladder cancer,1/3,41/8843,0.013846475517227286,0.02769295103445457,0.003238941641456675,MMP2,1.0,Human Diseases,Cancer: specific types
R-HSA-1236978,discovery_tumor_others,R-HSA-1236978,Cross-presentation of soluble exogenous antigens (endosomes),2/3,49/11009,5.8058287545637764e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-211733,discovery_tumor_others,R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,2/3,50/11009,6.047370943805378e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-350562,discovery_tumor_others,R-HSA-350562,Regulation of ornithine decarboxylase (ODC),2/3,51/11009,6.293820075141786e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-180534,discovery_tumor_others,R-HSA-180534,Vpu mediated degradation of CD4,2/3,52/11009,6.545175248959464e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-349425,discovery_tumor_others,R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,2/3,52/11009,6.545175248959464e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-69601,discovery_tumor_others,R-HSA-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,2/3,52/11009,6.545175248959464e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-69610,discovery_tumor_others,R-HSA-69610,p53-Independent DNA Damage Response,2/3,52/11009,6.545175248959464e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-69613,discovery_tumor_others,R-HSA-69613,p53-Independent G1/S DNA damage checkpoint,2/3,52/11009,6.545175248959464e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-75815,discovery_tumor_others,R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,2/3,52/11009,6.545175248959464e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-9762114,discovery_tumor_others,R-HSA-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,2/3,52/11009,6.545175248959464e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-169911,discovery_tumor_others,R-HSA-169911,Regulation of Apoptosis,2/3,53/11009,6.801435565644868e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-180585,discovery_tumor_others,R-HSA-180585,Vif-mediated degradation of APOBEC3G,2/3,54/11009,7.062600125584445e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-9604323,discovery_tumor_others,R-HSA-9604323,Negative regulation of NOTCH4 signaling,2/3,54/11009,7.062600125584445e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-174113,discovery_tumor_others,R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,2/3,55/11009,7.328668029164625e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-4641257,discovery_tumor_others,R-HSA-4641257,Degradation of AXIN,2/3,55/11009,7.328668029164625e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-8854050,discovery_tumor_others,R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,2/3,55/11009,7.328668029164625e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-8941858,discovery_tumor_others,R-HSA-8941858,Regulation of RUNX3 expression and activity,2/3,55/11009,7.328668029164625e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-9824272,discovery_tumor_others,R-HSA-9824272,Somitogenesis,2/3,55/11009,7.328668029164625e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-450408,discovery_tumor_others,R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,2/3,56/11009,7.599638376771903e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5362768,discovery_tumor_others,R-HSA-5362768,Hh mutants are degraded by ERAD,2/3,56/11009,7.599638376771903e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-4641258,discovery_tumor_others,R-HSA-4641258,Degradation of DVL,2/3,57/11009,7.875510268792712e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-69541,discovery_tumor_others,R-HSA-69541,Stabilization of p53,2/3,57/11009,7.875510268792712e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-449147,discovery_tumor_others,R-HSA-449147,Signaling by Interleukins,3/3,473/11009,7.883131794767094e-05,0.00037052262380592985,1.0909757049861756e-05,MMP2/PSMA7/PSMB1,3.0,,
R-HSA-351202,discovery_tumor_others,R-HSA-351202,Metabolism of polyamines,2/3,59/11009,8.441955087620697e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5387390,discovery_tumor_others,R-HSA-5387390,Hh mutants abrogate ligand secretion,2/3,59/11009,8.441955087620697e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5676590,discovery_tumor_others,R-HSA-5676590,NIK-->noncanonical NF-kB signaling,2/3,59/11009,8.441955087620697e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-187577,discovery_tumor_others,R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,2/3,60/11009,8.732526215200823e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5607761,discovery_tumor_others,R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,2/3,60/11009,8.732526215200823e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5610780,discovery_tumor_others,R-HSA-5610780,Degradation of GLI1 by the proteasome,2/3,60/11009,8.732526215200823e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5610783,discovery_tumor_others,R-HSA-5610783,Degradation of GLI2 by the proteasome,2/3,60/11009,8.732526215200823e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5610785,discovery_tumor_others,R-HSA-5610785,GLI3 is processed to GLI3R by the proteasome,2/3,60/11009,8.732526215200823e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5678895,discovery_tumor_others,R-HSA-5678895,Defective CFTR causes cystic fibrosis,2/3,61/11009,9.027995288740277e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-174084,discovery_tumor_others,R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,2/3,63/11009,9.633623675242976e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-4608870,discovery_tumor_others,R-HSA-4608870,Asymmetric localization of PCP proteins,2/3,64/11009,9.943781188979159e-05,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
R-HSA-5358346,discovery_tumor_others,R-HSA-5358346,Hedgehog ligand biogenesis,2/3,65/11009,0.00010258833050220492,0.00037052262380592985,1.0909757049861756e-05,PSMA7/PSMB1,2.0,,
